Acc, Kappa
0.0217281, 0.00108371
0.0217736, 0.00121772
0.0218097, 0.00134157
0.0218323, 0.00144485
0.0218469, 0.00157915
0.0218403, 0.00170305
0.021805, 0.00183707
-0.0313503, 0.00166647
-0.031398, 0.00148848
-0.0314109, 0.00131018
-0.0313968, 0.00111685
-0.0313668, 0.000938365
-0.0313279, 0.000759911
-0.0312822, 0.000566666
-0.0312385, 0.00037351
-0.0312035, 0.000195272
-0.0311756, 1.70607e-05
-0.0311569, -0.00014631
0.0850663, 9.33096e-05
0.0851391, 0.000538727
0.085338, 0.00102443
0.0855974, 0.00146993
0.0859058, 0.00195647
0.0861549, 0.00244346
0.0862345, 0.00288974
0.0860299, 0.00337527
-0.0519972, 0.00312425
-0.0521991, 0.00283041
-0.0522298, 0.00256012
-0.0521312, 0.00224038
-0.0519744, 0.00197008
-0.0517651, 0.0016758
-0.0515488, 0.00138226
-0.0513687, 0.00111382
-0.0512241, 0.000845882
-0.0511285, 0.000578246
0.0400201, 0.000371977
0.0400808, 0.000581621
0.0401697, 0.000791447
0.0402699, 0.000982455
0.0403947, 0.00119292
0.0405135, 0.00138462
0.04064, 0.00159589
0.040749, 0.00180751
0.0408203, 0.00200009
0.0408524, 0.00221197
0.0408176, 0.0024236
0.040695, 0.00263461
-0.0645391, 0.00241236
-0.0647049, 0.00207741
-0.0647269, 0.00174145
-0.0646585, 0.00143567
-0.0645191, 0.00109928
-0.06434, 0.000763117
-0.0641423, 0.000427318
-0.0639206, 6.14768e-05
-0.0637178, -0.00027342
0.08759, -0.000243386
0.0874389, 0.000299437
0.0875712, 0.000799499
0.0878974, 0.00125816
0.0884264, 0.00175981
0.089004, 0.0022214
-0.298079, 0.00272708
-0.801778, 0.00323152
-1.22165, 0.00369022
-1.0759, 0.00418195
-0.773799, 0.004624
-1.00871, 0.00505497
-1.04355, 0.00512279
-1.32288, 0.00493851
-0.756926, 0.00474343
-0.0301334, 0.00453786
1.22751, 0.000522189
1.07357, -0.0011316
1.82743, -0.00140063
1.34492, -0.000873406
0.70603, -4.29515e-07
0.192605, 0.00095704
-0.860962, 0.00170483
0.145887, 0.00302446
0.0730359, 0.00391405
0.01601, 0.00453079
-0.0271821, 0.00494805
-0.056501, 0.00517827
-0.0741231, 0.00524246
-0.0825971, 0.00517628
-3.75502, 0.00450892
-0.084609, 0.00502105
0.0655918, 0.00487556
0.0731611, 0.00469131
0.0790965, 0.00445705
0.0818713, 0.00425755
0.0830337, 0.0040551
-3.62688, 0.00385449
0.0735052, 0.00381208
0.245653, 0.00366931
0.359178, 0.00356187
0.600881, 0.003491
0.760225, 0.0034555
0.832029, 0.00345915
0.851361, 0.00348866
0.563119, 0.00338939
0.513163, 0.00310302
0.455293, 0.00286813
0.390584, 0.00263782
0.323228, 0.00241025
0.251802, 0.00225298
0.187273, 0.00201776
0.122578, 0.00175968
0.0682831, 0.00152206
0.0120637, 0.00123976
-0.0285945, 0.000999867
-0.06025, 0.000758971
-0.0792392, 0.000517446
-0.12305, 0.00025178
0.205532, 0.000195342
0.20587, 0.000426476
0.206383, 0.000677888
0.20696, 0.0009078
0.207663, 0.00115811
-3.56679, 0.00138454
0.188588, 0.00162301
0.189055, 0.00185937
0.189328, 0.002095
0.361562, 0.0023296
0.476033, 0.00256331
0.545136, 0.00279611
0.115901, 0.00278489
0.11917, 0.00245437
